Original: 3.0, Predicted: 3.0, 0.0, (Class: 3.0),
Original: 3.0, Predicted: 3.0, 0.0, (Class: 3.0), 
Original: 2.0, Predicted: 2.0, 0.0, (Class: 2.0), 
Original: 3.0, Predicted: 3.0, 0.0, (Class: 3.0), 
Original: 1.0, Predicted: 1.0, 0.0, (Class: 1.0), 
Original: 2.0, Predicted: 2.0, 0.0, (Class: 2.0), 
Original: 2.0, Predicted: 2.0, 0.0, (Class: 2.0), 
Original: 2.0, Predicted: 2.0, 0.0, (Class: 2.0), 
Original: 3.0, Predicted: 3.0, 0.0, (Class: 3.0), 
Original: 1.0, Predicted: 1.0, 0.0, (Class: 1.0), 
Original: 2.0, Predicted: 2.0, 0.0, (Class: 2.0), 
Original: 2.0, Predicted: 2.0, 0.0, (Class: 2.0), 
Original: 3.0, Predicted: 3.0, 0.0, (Class: 3.0), 
Original: 1.0, Predicted: 1.0, 0.0, (Class: 1.0), 
Original: 2.0, Predicted: 2.0, 0.0, (Class: 2.0), 
Original: 1.0, Predicted: 1.0, 0.0, (Class: 1.0), 
Original: 1.0, Predicted: 1.0, 0.0, (Class: 1.0), 
Original: 3.0, Predicted: 3.0, 0.0, (Class: 3.0), 
Original: 3.0, Predicted: 3.0, 0.0, (Class: 3.0), 
Original: 2.0, Predicted: 2.0, 0.0, (Class: 2.0), 
Original: 2.0, Predicted: 2.0, 0.0, (Class: 2.0), 
Original: 1.0, Predicted: 1.0, 0.0, (Class: 1.0), 
Original: 2.0, Predicted: 2.0, 0.0, (Class: 2.0), 
Original: 1.0, Predicted: 1.0, 0.0, (Class: 1.0), 
Original: 3.0, Predicted: 3.0, 0.0, (Class: 3.0), 
Original: 2.0, Predicted: 2.0, 0.0, (Class: 2.0), 
Original: 2.0, Predicted: 2.0, 0.0, (Class: 2.0), 
Original: 3.0, Predicted: 3.0, 0.0, (Class: 3.0), 
Original: 1.0, Predicted: 1.0, 0.0, (Class: 1.0), 
Original: 1.0, Predicted: 1.0, 0.0, (Class: 1.0), 
Original: 1.0, Predicted: 1.0, 0.0, (Class: 1.0), 
Original: 3.0, Predicted: 3.0, 0.0, (Class: 3.0), 
Original: 1.0, Predicted: 1.0, 0.0, (Class: 1.0), 
Original: 1.0, Predicted: 1.0, 0.0, (Class: 1.0), 
Original: 2.0, Predicted: 2.0, 0.0, (Class: 2.0), 
Original: 3.0, Predicted: 3.0, 0.0, (Class: 3.0), 
Original: 2.0, Predicted: 2.0, 0.0, (Class: 2.0), 
Original: 1.0, Predicted: 1.0, 0.0, (Class: 1.0), 
Original: 3.0, Predicted: 3.0, 0.0, (Class: 3.0), 
Original: 2.0, Predicted: 2.0, 0.0, (Class: 2.0), 
Original: 1.0, Predicted: 1.0, 0.0, (Class: 1.0), 
Original: 3.0, Predicted: 3.0, 0.0, (Class: 3.0), 
Original: 2.0, Predicted: 2.0, 0.0, (Class: 2.0), 
Original: 2.0, Predicted: 2.0, 0.0, (Class: 2.0), 
Original: 1.0, Predicted: 1.0, 0.0, (Class: 1.0), 
Original: 2.0, Predicted: 2.0, 0.0, (Class: 2.0), 
Original: 1.0, Predicted: 1.0, 0.0, (Class: 1.0), 
Original: 1.0, Predicted: 1.0, 0.0, (Class: 1.0), 
Original: 2.0, Predicted: 2.0, 0.0, (Class: 2.0), 
Original: 1.0, Predicted: 1.0, 0.0, (Class: 1.0), 
Original: 1.0, Predicted: 1.0, 0.0, (Class: 1.0), 
Original: 3.0, Predicted: 3.0, 0.0, (Class: 3.0), 
Original: 2.0, Predicted: 2.0, 0.0, (Class: 2.0), 
Original: 2.0, Predicted: 2.0, 0.0, (Class: 2.0), 
Original: 2.0, Predicted: 2.0, 0.0, (Class: 2.0), 
Original: 1.0, Predicted: 1.0, 0.0, (Class: 1.0), 
Original: 2.0, Predicted: 2.0, 0.0, (Class: 2.0), 
Original: 2.0, Predicted: 2.0, 0.0, (Class: 2.0), 
Original: 2.0, Predicted: 2.0, 0.0, (Class: 2.0), 
Original: 3.0, Predicted: 3.0, 0.0, (Class: 3.0), 
Original: 3.0, Predicted: 3.0, 0.0, (Class: 3.0), 
Original: 1.0, Predicted: 1.0, 0.0, (Class: 1.0), 
Original: 2.0, Predicted: 2.0, 0.0, (Class: 2.0), 
Original: 3.0, Predicted: 3.0, 0.0, (Class: 3.0), 
Original: 3.0, Predicted: 3.0, 0.0, (Class: 3.0), 
Original: 2.0, Predicted: 2.0, 0.0, (Class: 2.0), 
Original: 2.0, Predicted: 2.0, 0.0, (Class: 2.0), 
Original: 1.0, Predicted: 1.0, 0.0, (Class: 1.0), 
Original: 2.0, Predicted: 2.0, 0.0, (Class: 2.0), 
Original: 3.0, Predicted: 3.0, 0.0, (Class: 3.0), 
Original: 3.0, Predicted: 3.0, 0.0, (Class: 3.0), 
Original: 2.0, Predicted: 2.0, 0.0, (Class: 2.0), 
Original: 3.0, Predicted: 3.0, 0.0, (Class: 3.0), 
Original: 2.0, Predicted: 2.0, 0.0, (Class: 2.0), 
Original: 2.0, Predicted: 2.0, 0.0, (Class: 2.0), 
Original: 2.0, Predicted: 2.0, 0.0, (Class: 2.0), 
Original: 1.0, Predicted: 1.0, 0.0, (Class: 1.0), 
Original: 1.0, Predicted: 1.0, 0.0, (Class: 1.0), 
Original: 3.0, Predicted: 3.0, 0.0, (Class: 3.0), 
Original: 1.0, Predicted: 1.0, 0.0, (Class: 1.0), 
Original: 3.0, Predicted: 3.0, 0.0, (Class: 3.0), 
Original: 1.0, Predicted: 1.0, 0.0, (Class: 1.0), 
Original: 1.0, Predicted: 1.0, 0.0, (Class: 1.0), 
Original: 2.0, Predicted: 2.0, 0.0, (Class: 2.0), 
Original: 2.0, Predicted: 2.0, 0.0, (Class: 2.0), 
Original: 1.0, Predicted: 1.0, 0.0, (Class: 1.0), 
Original: 1.0, Predicted: 1.0, 0.0, (Class: 1.0), 
Original: 1.0, Predicted: 1.0, 0.0, (Class: 1.0), 
Original: 2.0, Predicted: 2.0, 0.0, (Class: 2.0), 
Original: 1.0, Predicted: 1.0, 0.0, (Class: 1.0), 
Original: 2.0, Predicted: 2.0, 0.0, (Class: 2.0), 
Original: 3.0, Predicted: 3.0, 0.0, (Class: 3.0), 
Original: 2.0, Predicted: 2.0, 0.0, (Class: 2.0), 
Original: 2.0, Predicted: 2.0, 0.0, (Class: 2.0), 
Original: 2.0, Predicted: 2.0, 0.0, (Class: 2.0), 
Original: 3.0, Predicted: 3.0, 0.0, (Class: 3.0), 
Original: 3.0, Predicted: 3.0, 0.0, (Class: 3.0), 
Original: 2.0, Predicted: 2.0, 0.0, (Class: 2.0), 
Original: 1.0, Predicted: 1.0, 0.0, (Class: 1.0), 
Original: 1.0, Predicted: 1.0, 0.0, (Class: 1.0), 
Original: 2.0, Predicted: 2.0, 0.0, (Class: 2.0), 
Original: 3.0, Predicted: 3.0, 0.0, (Class: 3.0), 
Original: 3.0, Predicted: 3.0, 0.0, (Class: 3.0), 
Original: 1.0, Predicted: 1.0, 0.0, (Class: 1.0), 
Original: 2.0, Predicted: 2.0, 0.0, (Class: 2.0), 
Original: 3.0, Predicted: 3.0, 0.0, (Class: 3.0), 
Original: 3.0, Predicted: 3.0, 0.0, (Class: 3.0), 
Original: 3.0, Predicted: 3.0, 0.0, (Class: 3.0), 
Original: 3.0, Predicted: 3.0, 0.0, (Class: 3.0), 
Original: 2.0, Predicted: 2.0, 0.0, (Class: 2.0), 
Original: 1.0, Predicted: 1.0, 0.0, (Class: 1.0), 
Original: 2.0, Predicted: 2.0, 0.0, (Class: 2.0), 
Original: 1.0, Predicted: 1.0, 0.0, (Class: 1.0), 
Original: 3.0, Predicted: 3.0, 0.0, (Class: 3.0), 
Original: 1.0, Predicted: 1.0, 0.0, (Class: 1.0), 
Original: 1.0, Predicted: 1.0, 0.0, (Class: 1.0), 
Original: 2.0, Predicted: 2.0, 0.0, (Class: 2.0), 
